country,region,happiness_score,gdp_per_capita,social_support,life_expectancy,freedom,generosity,corruption,year,region_avg_happiness,region_avg_gdp,happiness_vs_region,happiness_zscore
Senegal,Sub-Saharan Africa,3.904,0.36498,0.97619,0.4354,0.36772,0.20843,0.10713,2015,4.2028,0.380473,-0.29879999999999995,-1.3688058480167553
Gabon,Sub-Saharan Africa,3.896,1.06024,0.90528,0.43372,0.31914,0.06822,0.11091,2015,4.2028,0.380473,-0.30679999999999996,-1.3759813325042851
Niger,Sub-Saharan Africa,3.845,0.0694,0.77265,0.29707,0.47692,0.19387,0.15639,2015,4.2028,0.380473,-0.3577999999999997,-1.4217250461122872
Cambodia,Southeastern Asia,3.819,0.46038,0.62736,0.61114,0.66246,0.40359,0.07247,2015,5.317444444444444,0.7890544444444445,-1.498444444444444,-1.4450453706967592
Tanzania,Sub-Saharan Africa,3.781,0.2852,1.00268,0.38215,0.32878,0.34377,0.05747,2015,4.2028,0.380473,-0.42179999999999973,-1.4791289220125254
Madagascar,Sub-Saharan Africa,3.681,0.20824,0.66801,0.46721,0.19184,0.21333,0.08124,2015,4.2028,0.380473,-0.5217999999999998,-1.568822478106648
Central African Republic,Sub-Saharan Africa,3.678,0.0785,0.0,0.06699,0.48879,0.23835,0.08289,2015,4.2028,0.380473,-0.5247999999999999,-1.5715132847894717
Chad,Sub-Saharan Africa,3.667,0.34193,0.76062,0.1501,0.23501,0.18386,0.05269,2015,4.2028,0.380473,-0.5358,-1.5813795759598253
Guinea,Sub-Saharan Africa,3.656,0.17417,0.46475,0.24009,0.37725,0.28657,0.12139,2015,4.2028,0.380473,-0.5467999999999997,-1.5912458671301783
Ivory Coast,Sub-Saharan Africa,3.655,0.46534,0.77115,0.15185,0.46866,0.20165,0.17922,2015,4.2028,0.380473,-0.5478000000000001,-1.59214280269112
Burkina Faso,Sub-Saharan Africa,3.587,0.25812,0.85188,0.27125,0.39493,0.21747,0.12832,2015,4.2028,0.380473,-0.6157999999999997,-1.6531344208351229
Afghanistan,Southern Asia,3.575,0.31982,0.30285,0.30335,0.23414,0.3651,0.09719,2015,4.580857142857143,0.5604857142857143,-1.0058571428571428,-1.6638976475664176
Rwanda,Sub-Saharan Africa,3.465,0.22208,0.7737,0.42864,0.59201,0.22628,0.55191,2015,4.2028,0.380473,-0.7378,-1.7625605592699523
Benin,Sub-Saharan Africa,3.34,0.28665,0.35386,0.3191,0.4845,0.1826,0.0801,2015,4.2028,0.380473,-0.8628,-1.8746775043876052
